location,iso_code,continent,cases,inf_rate,deaths,death_rate,population,pop_density,median_age,pct_over_65,pct_over_70,life_expectancy,gdp_pc,pct_extreme_poverty,pct_diabetes,pct_male_smokers,pct_female_smokers,pct_pop_access_handwash,hospital_beds_per_thousand,response,bci_bci,bci_bcistd,ciri_assn,ciri_dommov,ciri_elecsd,ciri_speech,cspf_sfi,em_active,epi_h2o,fhp_mcei5,fh_aor,fh_cl,fh_feb,fh_fog,fh_pair,fh_polity2,fh_ppp,fh_pr,fhp_status5,gpi_dic,gpi_gpi,gpi_jail,hf_efiscore,hf_govint,p_durable,undp_hdi,vdem_polyarchy,voh_gti,wbgi_gee,wbgi_pve,wbgi_rle,wbgi_rqe,wdi_acel,wdi_chexppgdp,wdi_dgovhexp,wdi_dprivhexp,wdi_export,wdi_import,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_gdppppcur,wdi_gdpcapgr,wdi_gini,wdi_imig,wdi_incsh10h,wdi_inflation,wdi_lifexp,wdi_migration,wdi_ophexp,wdi_pop,wdi_popgr,wdi_popurb,wdi_smop,wdi_unempilo,who_halet,who_infmortt,who_let
Georgia,GEO,Asia,1341,5.881578947,17,0.074561404,3989175,65.032,38.7,14.864,10.244,73.77,9745.079,4.2,7.11,55.5,5.3,,2.6,56.39443946,29.72498512,1.808944941,0,0,1,1,6,23,59.93000031,16,8,3,11,7,10,7.583333015,11,3,2,1,2.095999956,3.08100009,72.59999847,52,25,0.776000023,0.713,2.107000113,0.518248141,-0.31329149,0.383660972,1.008661032,100,8.436097145,3.083544493,61.18755722,43.6041832,59.32527542,10.92299271,2.864418507,2.059000015,37250879488,2.785102367,36.59999847,4.220248222,28.10000038,,73.20700073,-50000,55.59646225,3727505,0.059816599,57.8370018,28.79999924,13.97000027,64.90000153,9.100000381,72.59999847
Germany,DEU,Europe,224014,969.7575758,9232,39.96536797,83783945,237.016,46.6,21.453,15.957,81.33,45229.245,,8.31,33.1,28.2,,8,46.39199115,23.6312027,1.777794003,1,2,2,1,0,7507,96.73999786,4,12,1,15,12,15,10,15,1,1,1,1.514999986,1.600999951,74.40000153,79,26,0.934000015,0.865999997,4.919000149,1.734568119,0.681363404,1.622016311,1.817015648,100,11.13916779,9.431624413,15.32917786,45.89704895,38.06516266,1.791540742,3.123198271,1.590000033,4.11096E+12,1.420238972,31.70000076,14.87905121,24.79999924,0.491748631,80.990242,2719112,12.40959263,82348672,0.807218552,77.22399902,30.60000038,4.122000217,71.59999847,3.200000048,81
Gha,GHA,Africa,42532,270.9044586,231,1.47133758,31072945,126.719,21.1,3.385,1.948,64.07,4227.63,12,4.97,7.7,0.3,41.047,0.9,59.42486842,55.81486893,2.250798941,2,2,2,1,11,,26.52000046,11,11,2,14,10,10,9.083333969,15,1,2,1,1.807999969,1.379999995,63,48,15,0.588,0.66900003,0.324000001,-0.168310955,-0.130928621,0.04878578,-0.232509688,79.30000305,4.448714256,1.706328988,48.85341644,31.88067436,37.47699738,6.335848808,0.026658913,3.983999968,1.17791E+11,1.149647355,43.5,1.457397103,32.20000076,17.45463562,63.12400055,-50000,37.82372665,28481946,2.246599197,54.74900055,3.900000095,6.767000198,56.40000153,37.40000153,63.40000153
Gibraltar,GIB,Europe,215,1.42384106,0,0,33691,3457.1,,,,79.93,,,,,,,,65.64300971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Europe,7075,30.89519651,228,0.995633188,10423056,83.479,45.3,20.396,14.524,82.24,24574.382,1.5,4.55,52,35.3,,4.21,44.95615385,49.58623505,2.048355103,0,2,2,1,2,1483,100,13,11,2,14,8,13,9.166666031,15,2,2,1,2.019999981,1.703999996,53.20000076,43,41,0.867999971,0.855000019,4.125,0.226677805,-0.121599175,0.107345834,0.148386851,100,8.454293251,5.135452747,39.00135422,30.0637455,30.77678108,1.382292151,-0.903248429,1.379999995,2.93903E+11,0.225031018,36,11.34237766,26.20000076,-0.825651765,81.38780212,-80000,34.34369659,10775971,-0.415913016,78.38700104,43.40000153,23.53899956,72,3.799999952,81.19999695
Greenland,GRL,North America,14,0.092715232,0,0,56772,0.137,,,,71.7,,,2.16,,,,,51.37708333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greda,GRD,North America,24,0.162162162,0,0,112519,317.132,29.4,7.304,5.021,72.4,13593.877,,10.71,,,,3.7,,32.848629,3.669444084,2,2,2,2,,,48.25999832,5,11,2,15,10,13,,16,1,1,,,,,,,0.769999981,,,-0.175016463,1.018932462,0.568964899,0.084024966,93.65990448,5.246665001,2.16904521,57.77658844,55.81632614,52.09410477,8.938887596,0.320055485,2.104000092,1526469120,3.112792015,,6.606131554,,1.65038991,72.40799713,-1000,57.77658844,110261,0.60220325,36.0719986,,,64.69999695,13.69999981,73.40000153
Guam,GUM,Oceania,558,3.671052632,5,0.032894737,168783,304.128,31.4,9.551,5.493,80.07,,,21.52,,,,,65.16572414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,North America,62562,401.0384615,2379,15.25,17915567,157.834,22.9,4.694,3.016,74.3,7423.808,8.7,10.18,,,76.665,0.6,93.81554054,58.07633591,2.301661015,2,2,2,0,8,131,29.5,17,6,4,11,5,8,7,10,4,2,1,2.243000031,1.980999947,61.79999924,32,20,0.648999989,0.660000026,0.501999974,-0.606393337,-0.542592645,-1.019841552,-0.202431545,91.92584229,5.820311069,2.166001558,61.85499191,19.54210281,27.46277618,1.710511923,0.155686438,2.97300005,1.31924E+11,1.037037373,48.29999924,0.467187673,38,4.448441982,73.54100037,-46073,53.33825302,16583060,2.013931751,50.31900024,,2.825999975,64.19999695,23.5,73.19999695
Guernsey,GGY,Europe,252,1.668874172,13,0.086092715,67052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
